Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,3,23,15,"SmartMeter",32076.9453110253
2021,1,3,23,30,"SmartMeter",33755.56846706121
2021,1,3,23,45,"SmartMeter",31810.708801521516
2021,1,4,0,0,"SmartMeter",30793.262443988762
2021,1,4,0,15,"SmartMeter",26249.811778499276
2021,1,4,0,30,"SmartMeter",25420.360767614027
2021,1,4,0,45,"SmartMeter",23977.633642594879
2021,1,4,1,0,"SmartMeter",22044.717093214324
2021,1,4,1,15,"SmartMeter",20046.893182271524
2021,1,4,1,30,"SmartMeter",20259.616716061249
2021,1,4,1,45,"SmartMeter",22870.893567178889
2021,1,4,2,0,"SmartMeter",26982.410412755846
2021,1,4,2,15,"SmartMeter",25362.945734242046
2021,1,4,2,30,"SmartMeter",23382.872255829712
2021,1,4,2,45,"SmartMeter",24311.874047771933
2021,1,4,3,0,"SmartMeter",22114.359913800497
2021,1,4,3,15,"SmartMeter",24806.094805597473
2021,1,4,3,30,"SmartMeter",21226.283135905884
2021,1,4,3,45,"SmartMeter",18690.998372655296
2021,1,4,4,0,"SmartMeter",14796.490023839136
2021,1,4,4,15,"SmartMeter",23171.807510339124
2021,1,4,4,30,"SmartMeter",29525.537284311937
2021,1,4,4,45,"SmartMeter",33280.75144073031
2021,1,4,5,0,"SmartMeter",24566.863414814648
2021,1,4,5,15,"SmartMeter",21159.1963849842
2021,1,4,5,30,"SmartMeter",15823.806537869816
2021,1,4,5,45,"SmartMeter",24066.640935767955
2021,1,4,6,0,"SmartMeter",27465.312011465241
2021,1,4,6,15,"SmartMeter",29774.158759077185
2021,1,4,6,30,"SmartMeter",29845.139475108233
2021,1,4,6,45,"SmartMeter",23068.717076502729
2021,1,4,7,0,"SmartMeter",24655.739149706973
2021,1,4,7,15,"SmartMeter",29507.882227769875
2021,1,4,7,30,"SmartMeter",34542.759307613574
2021,1,4,7,45,"SmartMeter",39087.225327253487
2021,1,4,8,0,"SmartMeter",32964.419829721039
2021,1,4,8,15,"SmartMeter",27899.501586998365
2021,1,4,8,30,"SmartMeter",31047.950892966684
2021,1,4,8,45,"SmartMeter",30434.300460775623
2021,1,4,9,0,"SmartMeter",38845.436600467241
2021,1,4,9,15,"SmartMeter",42430.503952616586
2021,1,4,9,30,"SmartMeter",45134.510104109111
2021,1,4,9,45,"SmartMeter",55999.030628174558
2021,1,4,10,0,"SmartMeter",50037.917473048736
2021,1,4,10,15,"SmartMeter",56014.004664662818
2021,1,4,10,30,"SmartMeter",52336.757721376394
2021,1,4,10,45,"SmartMeter",60138.88535830663
2021,1,4,11,0,"SmartMeter",54521.8239530119
2021,1,4,11,15,"SmartMeter",54541.55657004175
2021,1,4,11,30,"SmartMeter",44961.343426442072
2021,1,4,11,45,"SmartMeter",49660.713188837959
2021,1,4,12,0,"SmartMeter",60568.879505380377
2021,1,4,12,15,"SmartMeter",52368.795222881861
2021,1,4,12,30,"SmartMeter",53140.477818621141
2021,1,4,12,45,"SmartMeter",56193.20028374048
2021,1,4,13,0,"SmartMeter",56484.160972843994
