Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,8,22,30,"PV",0
2021,1,8,22,45,"PV",0
2021,1,8,23,0,"PV",0
2021,1,8,23,15,"PV",0
2021,1,8,23,30,"PV",0
2021,1,8,23,45,"PV",0
2021,1,9,0,0,"PV",0
2021,1,9,0,15,"PV",0
2021,1,9,0,30,"PV",0
2021,1,9,0,45,"PV",0
2021,1,9,1,0,"PV",0
2021,1,9,1,15,"PV",0
2021,1,9,1,30,"PV",0
2021,1,9,1,45,"PV",0
2021,1,9,2,0,"PV",0
2021,1,9,2,15,"PV",0
2021,1,9,2,30,"PV",0
2021,1,9,2,45,"PV",0
2021,1,9,3,0,"PV",0
2021,1,9,3,15,"PV",0
2021,1,9,3,30,"PV",0
2021,1,9,3,45,"PV",0
2021,1,9,4,0,"PV",0
2021,1,9,4,15,"PV",0
2021,1,9,4,30,"PV",0
2021,1,9,4,45,"PV",0
2021,1,9,5,0,"PV",0
2021,1,9,5,15,"PV",0
2021,1,9,5,30,"PV",0
2021,1,9,5,45,"PV",0
2021,1,9,6,0,"PV",0
2021,1,9,6,15,"PV",0
2021,1,9,6,30,"PV",0
2021,1,9,6,45,"PV",0
2021,1,9,7,0,"PV",0
2021,1,9,7,15,"PV",0
2021,1,9,7,30,"PV",0
2021,1,9,7,45,"PV",0
2021,1,9,8,0,"PV",0
2021,1,9,8,15,"PV",0
2021,1,9,8,30,"PV",0
2021,1,9,8,45,"PV",0
2021,1,9,9,0,"PV",0
2021,1,9,9,15,"PV",0
2021,1,9,9,30,"PV",0
2021,1,9,9,45,"PV",0
2021,1,9,10,0,"PV",0
2021,1,9,10,15,"PV",0
2021,1,9,10,30,"PV",0
2021,1,9,10,45,"PV",0
2021,1,9,11,0,"PV",0
2021,1,9,11,15,"PV",0
2021,1,9,11,30,"PV",0
2021,1,9,11,45,"PV",0
